0	6
1	12
2	18
3	24
4	30
5	34
6	40
7	46
8	52
9	56
10	62
11	68
12	74
13	78
14	84
15	90
16	94
17	100
18	106
19	112
20	116
21	122
22	128
23	134
24	138
25	144
26	150
27	154
28	160
29	166
30	172
31	176
32	182
33	188
34	192
35	198
36	203
37	209
38	214
39	220
40	225
41	230
42	236
43	241
44	246
45	252
46	257
47	262
48	268
49	274
50	279
51	284
52	289
53	295
54	300
55	306
56	311
57	316
58	322
59	327
60	332
61	338
62	344
63	349
64	354
65	360
66	364
67	370
68	375
69	380
70	386
71	391
72	396
73	402
74	407
75	412
76	418
77	423
78	429
79	434
80	439
81	445
82	450
83	455
84	461
85	465
86	470
87	476
88	481
89	486
90	492
91	497
92	502
93	507
94	512
95	518
96	523
97	528
98	534
99	539
100	543
101	548
102	552
103	558
104	564
105	568
106	572
107	578
108	583
109	589
110	594
111	599
112	604
113	608
114	613
115	618
